vedio_id,author,title,description,view_amount
BV1EfBWYNEJA,逗比的雀巢,超超超喜欢我的100个甲方,逗比的雀巢被饿死前的幻想罢了,2653314
BV1pSUdYoEEv,吃不完的赛罗酱,【4K 奥特无缝衔接】震撼大赏！纵享丝滑到飞起的视觉盛宴！！,之前答应的上上上个视频的完整版，我没鸽！！！,3710151
BV1ucBqYpEAG,马鹿blyat,《坦克模拟器4》,"再次感谢《坦克世界》官方，“坦克模拟器4”来啦！还没入坑的兄弟，可通过我的专属链接领取我的专属礼包加入战斗；
①国服玩家入口：https://urlqh.cn/sUx2s
②国际服玩家入口：https://tanks.ly/3zXijks 新手邀请码：COMBAT
同时WCI坦克世界国际冠军赛将于11月23日-24日正式打响！车长们可通过观看WCI直播、完成游戏任务获取点数，领取WCI定制贴花、2D风格、全局经验等精选物品",2600840
BV19RBBYPEnZ,老番茄,究极浪漫！下雨天，我们看到了奇迹般的烟花…【青春旅行团05】,"全！新！系！列！！《青春旅行团》第五期！！
随机一个人策划一期旅游，结果会是怎么样的？？？
一键三连，我们速速拍摄下一期哟！！！",2799342
BV1GTBsYfExd,纽毕斯,“小时候以为是童话，长大后才知是现实”,"深度向鬼畜系列持续更新，欢迎关注！你的支持是我最大的动力！
——————————————
深度向鬼畜系列（持续更新）：
第一部:BV1tM4m1a7xk
第二部:BV1bi421e7v8
第三部:BV1Ua4y1E7kf
第四部:BV1uW4y1y7SU
第五部:BV1Ks411w77V
第六部:BV1yr421T76b
更多作品见视频下方合集
——————————————
小时候看葫芦娃只觉得有趣，现在再看原来有这么多隐喻。
小时候看不懂，长大了不想懂。
——————————————
BGM：Now, ",1413108
BV1y4BiYyEnV,小潮院长,马家屯（大结局）,"希望观众老爷喜欢这个系列！
（希望你们喜欢，记得素质三连！）",2293201
BV1DQBeYSEHB,李维刚的日常,6块钱一斤包的塘，河虾50一斤，多抓点虾岂不赚翻？,-,1484635
BV15MBiYZEcQ,牙牙的包裹,这次，别再丢下我了,-,1403521
BV1TiByYrEe4,尕丶天堂,那些日漫角色突然说中文的名场面合集！一开口就绷不住了！,"最近新番里说中文的角色好像特别多，一时兴起整理了一批说日漫中说中文的名场面素材，看看不同段位的中文水平都是啥样！
喜欢别忘记点个三连和分享！",3414595
BV1GeUUYREXy,崩坏星穹铁道,《崩坏：星穹铁道》黄金史诗PV：「翁法罗斯英雄纪」,"翁法罗斯！我并非陡然地呼唤你的名字。
我来此，是为了讲述历史——
末日的黑潮降临大地，神明堕入疯狂，凡人举戈相向。
但仍有逐火的英雄，在创世的伟业中先行。
 ‌
此世，他们将燃烧的金血熔进身躯。
来日的命运，可会记得他们的姓名？
阿格莱雅、缇宝、那刻夏、风堇、万敌、赛飞儿、遐蝶、白厄、海瑟音、████、██、刻律德菈……
 
酣睡在黄昏的记忆，请不要忘记——翁法罗斯的名字。
 
中文CV：
「金织」阿格莱雅——楚越
黑塔——侯小菲
名为「昔涟」的少女——宴宁
 
日文CV：
「金织」阿格莱雅——远藤绫
黑",5864087
BV14DBrYeE1E,诺子喵呜,这是失明以后去医院最担心的事情，但是我遇到了一个很好的保安大哥...,"非常感谢他们的帮助和付出

拍摄/粗剪：诺子【使用挂脖运动相机，无障碍剪辑软件剪辑】
剪辑：不一",3783113
BV195B6YuEfE,开心嘴炮,拷问麦琳100个问题！我从未见过如此毛骨悚然的发言！《再见爱人》炸裂解说,《再见爱人》第六期高能吐槽！！,3001424
BV1F5B2YeEJ8,小约翰可汗,俄国人如何在西欧当国王？【硬核狠人74】,本篇为硬核狠人之鲍里斯一世。,1433317
BV19nByYDEZk,泛式,不要慌是技术性调整！2025年1月新番导视！【泛式】,"2025年1月新番全资讯导视。不要慌是技术性调整！开播后都会好起来的赶紧跑步入场！

求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连2024年十月新番",1423168
BV13iBqYbE8i,流茫有点忙,登神试炼1-4集合集,本集为合集，本周因为有家事，没有更新。下周正常恢复，预计一周更新3集,5051090
BV1pmBWYkEn4,旺仔有内涵,赛里木湖你都没去过？,-,941927
BV1GaBqYwE6u,星雨Starrain,“非 自 然 死 亡4”,喜欢就三连支持一下吧ヾ(@^▽^@)ノ,3219223
BV14kB2YLEDg,康哟喂,亲眼看到朝鲜在偷偷发育！中国大爷说朝鲜人很幸福？,"喜欢的话一定要点个关注啊！接下来会更精彩！
做长视频真的不容易，只能说点赞越多更新越快家人们！冲了！",2642105
BV1bVB1YLEig,米饭仙人FFyasueda,【一点青椒肉絲】白米饭3斤半,-,1886969
BV1cVBvYiELc,自闭老吴,第一次看甄嬛传（10）,以前的衣服翻一翻还有好多啊,2071020
BV1sNBqYUEZ5,冷性反气旋,小木块：我要是没静止你不完了,好吧，看来这个系列还没完结,2080688
BV1CxBeYqEKt,托宝_TORBJORN,八重神子召唤指南,"神子姐姐惩罚我吧

感谢合成、镜头解算@狂奋斗  老师
配音：@CV小鱼干  团队
八重神子-哒小兜
影-哒小兜",1511964
BV1eQBBYKEUb,CJY_e,⚡️踩点不小心把阎王爷踩似了⚡️,BGM☞APT.,1221774
BV11pB1YuErt,张河清教授,我用双拳打破家徒四壁,-,1460919
BV1BRByYtEWj,真子日记,感觉好不安全,,1880359
BV1AxURYsEdS,我是九日儿,80岁老人坚守太行山深处的供销社64年，用一生践行为人民服务,,959111
BV1FRB2YTEau,马嘉祺放映馆,爱意磅礴无声，却不惧流言《蜚蜚》· 马嘉祺 | 时代少年团五周年演唱会,封面：Pyramid_ML,275473
BV1xYULYjELi,剑客范十三,科技修仙！我用航天技术实现了真正的御剑术！武侠梦，就此起飞！,,1404619
BV16hBeYPEUN,进击的金厂长,身体：“我也曾想过一了百了”,长按点赞给大家一些鼓励吧！有什么烦恼都可以在评论区尽情倾诉哦！！,1398638
BV1C2B2YrErB,火柴人AlanBecker,火柴人短片汇编 - 第二季（官方）,,836818
BV1aYBqY8EnL,爱查案的蓝宝,戏剧性的6颗子弹。传奇演员的真实故事,我的视频能剪到你心趴上吗？,1068706
BV1MVBCYBEbE,电力小子-gtetgeg,《装甲车模拟器》,我们又与三角洲一拍即合了，大家一起做最优质的战士！（狗头）,2155085
BV1VwUXYAEtH,=咬人猫=,猫 步 轻 点，水 中 起 舞！❤️ 月白 【咬人猫】,月白舞蹈版终于和大家见面啦！先要给一直在关注着月白舞蹈版的小鱼干们说一声感谢！其实不光大家想快点看到成品，我也一样，然而在这背后的制作过程中，有很多很多当时还无法跟大家分享的小困难，从服装到选景到最最重要的编舞，每个环节都让我挠破脑袋。月白的编舞前后经历了三个我都很尊敬很喜欢的编舞老师完全不同的版本，但前面两个版本都和我心中想象的月白不太一样，所以最后邀请到了自己一直以来都很想合作的深雪老师，出了第三版，终于看到了心里的“月白”！是我想象中的她！在这一版上自己又想做一些小小的调整，这样真的花了很长的时间去,1383553
BV1qDUPYKEzf,DECO27_Official,DECO*27 - モニタリング feat. 初音ミク,"「ねえあたし知ってるよ」

2024年11月27日発売
9th Album 「TRANSFORM」 特設サイト
https://nbcuni-music.com/deco27

Lyrics & Music: DECO*27
Arrangement: DECO*27 & Hayato Yamamoto

Movie by OTOIRO
Director: kee
Character Designer: kee
Key Animator: kee, 1024
Animator: 白木メラ, なくり, 橙瀬あ",638148
BV1T7B1YCEBK,脱缰凯Kk,博弈,-,1210683
